order_id,customer_id,order_timestamp,product_id,product_name,category,quantity,unit_price,discount_pct,order_amount,payment_method,shipping_city,order_status,coupon_code,updated_at
O10001,C2007,2026-09-01 12:41:00,P1002,Mechanical Keyboard,Electronics,1,2499.00,15,2124.15,Cash on Delivery,Bengaluru,CONFIRMED,SAVE5,2026-09-01 15:08:00
O10002,C2039,2026-09-01 09:35:00,P1007,Desk Lamp,Home,1,1499.00,0,1499.00,UPI,Mumbai,CONFIRMED,FESTIVE15,2026-09-01 18:17:00
O10003,C2011,2026-09-01 15:39:00,P1009,Noise-Cancelling Headphones,Electronics,4,5999.00,0,23996.00,Net Banking,Delhi,DELIVERED,,2026-09-01 15:50:00
O10004,C2023,2026-09-01 09:44:00,P1003,USB-C Hub,Electronics,2,1899.00,0,3798.00,Debit Card,Pune,PLACED,,2026-09-01 11:28:00
O10005,C2040,2026-09-01 09:20:00,P1008,Backpack,Accessories,1,2199.00,5,2089.05,Debit Card,Mumbai,DELIVERED,FESTIVE15,2026-09-01 20:08:00
O10006,C2015,2026-09-01 11:53:00,P1002,Mechanical Keyboard,Electronics,1,2499.00,15,2124.15,UPI,Kochi,DELIVERED,,2026-09-01 13:19:00
O10007,C2018,2026-09-01 14:19:00,P1008,Backpack,Accessories,3,2199.00,0,6597.00,UPI,Hyderabad,SHIPPED,SAVE5,2026-09-02 01:50:00
O10008,C2036,2026-09-01 14:28:00,P1004,Laptop Stand,Office,2,1299.00,5,2468.10,Credit Card,Delhi,CONFIRMED,,2026-09-02 01:28:00
O10009,C2037,2026-09-01 14:50:00,P1004,Laptop Stand,Office,1,1299.00,0,1299.00,Debit Card,Mumbai,CONFIRMED,FESTIVE15,2026-09-01 18:31:00
O10010,C2016,2026-09-01 15:49:00,P1008,Backpack,Accessories,4,2199.00,15,7476.60,Cash on Delivery,Pune,CONFIRMED,FESTIVE15,2026-09-01 18:16:00
O10011,C2033,2026-09-01 14:48:00,P1010,Fitness Band,Wearables,4,3499.00,10,12596.40,Net Banking,Bengaluru,SHIPPED,,2026-09-01 17:14:00
O10012,C2039,2026-09-01 10:43:00,P1002,Mechanical Keyboard,Electronics,2,2499.00,15,4248.30,UPI,Kochi,DELIVERED,WELCOME10,2026-09-01 18:00:00
O10013,C2008,2026-09-01 12:17:00,P1010,Fitness Band,Wearables,4,3499.00,10,12596.40,Cash on Delivery,Pune,CANCELLED,FESTIVE15,2026-09-01 12:33:00
O10014,C2017,2026-09-01 15:25:00,P1006,Water Bottle,Home,1,599.00,0,599.00,Cash on Delivery,Hyderabad,CONFIRMED,SAVE5,2026-09-01 15:33:00
O10015,C2024,2026-09-01 16:39:00,P1002,Mechanical Keyboard,Electronics,3,2499.00,15,6372.45,Credit Card,Chennai,DELIVERED,SAVE5,2026-09-01 19:20:00
O10016,C2016,2026-09-01 09:54:00,P1006,Water Bottle,Home,4,599.00,0,2396.00,UPI,Mumbai,CANCELLED,SAVE5,2026-09-01 15:13:00
O10017,C2009,2026-09-01 16:17:00,P1002,Mechanical Keyboard,Electronics,1,2499.00,15,2124.15,Credit Card,Coimbatore,DELIVERED,SAVE5,2026-09-02 01:27:00
O10018,C2035,2026-09-01 18:21:00,P1003,USB-C Hub,Electronics,3,1899.00,10,5127.30,Credit Card,Pune,SHIPPED,WELCOME10,2026-09-01 22:02:00
O10019,C2005,2026-09-01 15:42:00,P1006,Water Bottle,Home,4,599.00,10,2156.40,Debit Card,Chennai,CONFIRMED,SAVE5,2026-09-01 19:37:00
O10020,C2004,2026-09-01 11:45:00,P1009,Noise-Cancelling Headphones,Electronics,2,5999.00,10,10798.20,Credit Card,Bengaluru,PLACED,,2026-09-01 22:36:00
